# N = 25000
# Version 1
# Threads Time Speedup
1 1.477771 1.0000
2 0.502294 2.942044
4 0.261428 5.652686
6 0.177736 8.314414
8 0.160968 9.180523
12 0.096662 15.288055
16 0.071675 20.617646
20 0.060034 24.615554
24 0.055050 26.844095
32 0.051406 28.747106
40 0.054040 27.345897

# Version 2
# Threads Time Speedup
1 1.021541 1.0000
2 1.836555 0.556227
4 2.532662 0.403347
6 4.356039 0.234511
8 0.365143 2.797646
12 4.286041 0.238341
16 8.150755 0.125331
20 13.225980 0.077237
24 13.805034 0.073998
32 14.718429 0.069406
40 20.058134 0.050929
